component,weight,fat,acid,sweetness,heat,salt,umami,bitter,notes
jammy egg,2,4,1,1,1,1,3,1,
hazelnut,1,4,1,1,1,1,2,2,
walnut,1,4,1,1,1,1,2,3,jura and oxidative affinity
pistachio,1,4,1,1,1,2,1,1,
pecan,1,4,1,4,1,1,1,1,
benne seed,1,3,1,1,1,1,2,2,
tahini,2,4,1,1,1,1,2,2,
dill,1,1,1,1,1,1,1,1,herbal. riesling and sauvignon affinity
mint,1,1,1,1,2,1,1,1,
basil,1,1,1,1,1,1,1,1,
thyme,1,1,1,1,1,1,1,1,
parsley,1,1,1,1,1,1,1,1,
cilantro,1,1,1,1,1,1,1,1,
tarragon,1,1,1,1,1,1,1,1,SAUVIGNON affinity
anise,1,1,1,2,1,1,1,1,chenin affinity
fennel,1,1,1,2,1,1,1,1,
confiture,1,1,2,5,1,1,1,1,see rule req_sweet_sweet
dried grape,1,1,1,5,1,1,1,1,
cherry,1,1,3,4,1,1,1,1,
chocolate,3,4,1,4,1,1,2,3,
caramel,1,2,1,5,1,1,1,1,
bottarga,1,2,1,1,1,5,5,1,
smoked beet,2,1,2,3,1,1,3,2,PINOT affinity
beet,2,1,2,3,1,1,2,2,
