head,kind,country,parent,color,grapes,tails,pronunciation,notes
tannat,grape,Uruguay,,Red,,,tah-NAHT,
barolo,appellation,Italy,Piedmont,Red,nebbiolo,barolo docg|barollo|barolo riserva,bah-ROH-loh,
barbaresco,appellation,Italy,Piedmont,Red,nebbiolo,barbaresco docg|barberesco,bar-bah-RES-koh,
langhe,appellation,Italy,Piedmont,Red,nebbiolo|barbera|dolcetto,langhe nebbiolo,LAHN-gheh,
roero,appellation,Italy,Piedmont,White,arneis|nebbiolo,roero arneis,roh-EH-roh,
gattinara,appellation,Italy,Piedmont,Red,nebbiolo,,gat-tee-NAH-rah,
barbera d alba,appellation,Italy,Piedmont,Red,barbera,barbera dalba|barbera d'alba,bar-BEH-rah DAHL-bah,
barbera d asti,appellation,Italy,Piedmont,Red,barbera,barbera dasti|barbera d'asti,bar-BEH-rah DAH-stee,
dolcetto d alba,appellation,Italy,Piedmont,Red,dolcetto,dolcetto dalba,dol-CHET-toh DAHL-bah,
gavi,appellation,Italy,Piedmont,White,cortese,cortese di gavi|gavi di gavi,GAH-vee,
alta langa,appellation,Italy,Piedmont,Sparkling,chardonnay|pinot noir,,AHL-tah LAHN-gah,
valtellina,appellation,Italy,Lombardy,Red,nebbiolo,valtellina superiore|sforzato|sfursat|inferno|grumello,val-tel-LEE-nah,
franciacorta,appellation,Italy,Lombardy,Sparkling,chardonnay|pinot noir,,fran-chah-KOR-tah,
lugana,appellation,Italy,Lombardy,White,trebbiano,,loo-GAH-nah,
alto adige,appellation,Italy,Alto Adige,White,pinot grigio|gewurztraminer|schiava,sudtirol|südtirol|south tyrol,AHL-toh AH-dee-jeh,
trentino,appellation,Italy,Trentino,Sparkling,chardonnay|pinot noir,trentodoc|trento doc,tren-TEE-noh,
friuli,appellation,Italy,Friuli,White,friulano|ribolla gialla|sauvignon blanc,friuli colli orientali|colli orientali|friuli venezia giulia,free-OO-lee,
collio,appellation,Italy,Friuli,White,friulano|ribolla gialla,,KOL-lyoh,
carso,appellation,Italy,Friuli,White,malvasia,,KAR-soh,
valpolicella,appellation,Italy,Veneto,Red,corvina,valpolicella ripasso|ripasso|valpolicella classico,val-poh-lee-CHEL-lah,
amarone,appellation,Italy,Veneto,Red,corvina,amarone della valpolicella|amarone classico,ah-mah-ROH-neh,
soave,appellation,Italy,Veneto,White,garganega,soave classico,SWAH-veh,
prosecco,appellation,Italy,Veneto,Sparkling,glera,valdobbiadene|conegliano|prosecco superiore|prosseco,proh-SEK-koh,
bardolino,appellation,Italy,Veneto,Red,corvina,,bar-doh-LEE-noh,
chianti classico,appellation,Italy,Tuscany,Red,sangiovese,chianti|gallo nero|chianti riserva|chianti rufina|cianti,kee-AHN-tee KLAS-see-koh,
brunello di montalcino,appellation,Italy,Tuscany,Red,sangiovese,brunello|montalcino|rosso di montalcino,broo-NEL-loh dee mon-tal-CHEE-noh,
vino nobile di montepulciano,appellation,Italy,Tuscany,Red,sangiovese,vino nobile|nobile di montepulciano,VEE-noh NOH-bee-leh,
bolgheri,appellation,Italy,Tuscany,Red,cabernet sauvignon|merlot|cabernet franc,bolgheri superiore|bolgeri,bol-GEH-ree,
maremma,appellation,Italy,Tuscany,Red,sangiovese,maremma toscana,mah-REM-mah,
carmignano,appellation,Italy,Tuscany,Red,sangiovese|cabernet sauvignon,,kar-mee-NYAH-noh,
morellino di scansano,appellation,Italy,Tuscany,Red,sangiovese,morellino,moh-rel-LEE-noh,
toscana,appellation,Italy,Tuscany,Red,sangiovese|cabernet sauvignon|merlot,tuscany|toscana igt|super tuscan|supertuscan|igt toscana,tos-KAH-nah,the English-only spelling was the gap that lost Tignanello
montefalco,appellation,Italy,Umbria,Red,sagrantino,sagrantino di montefalco,mon-teh-FAL-koh,
orvieto,appellation,Italy,Umbria,White,grechetto|trebbiano,,or-VYEH-toh,
castelli di jesi,appellation,Italy,Marche,White,verdicchio,verdicchio dei castelli di jesi|jesi,kas-TEL-lee dee YEH-zee,
montepulciano d abruzzo,appellation,Italy,Abruzzo,Red,montepulciano,abruzzo|montepulciano dabruzzo,mon-teh-pul-CHAH-noh dah-BROOT-soh,
taurasi,appellation,Italy,Campania,Red,aglianico,,tow-RAH-zee,
greco di tufo,appellation,Italy,Campania,White,greco,,GREH-koh dee TOO-foh,
fiano di avellino,appellation,Italy,Campania,White,fiano,,fee-AH-noh dee ah-vel-LEE-noh,
aglianico del vulture,appellation,Italy,Basilicata,Red,aglianico,vulture,ah-LYAH-nee-koh del VUL-too-reh,
etna,appellation,Italy,Sicily,Red,nerello mascalese|carricante,etna rosso|etna bianco,ET-nah,
cerasuolo di vittoria,appellation,Italy,Sicily,Red,nero d avola|frappato,vittoria,cheh-rah-SWOH-loh,
sardinia,appellation,Italy,Sardinia,Red,cannonau|vermentino,sardegna|cannonau di sardegna,sar-DEE-nyah,
salento,appellation,Italy,Puglia,Red,primitivo|negroamaro,puglia|manduria,sah-LEN-toh,
champagne,appellation,France,Champagne,Sparkling,chardonnay|pinot noir,blanc de blancs|blanc de noirs|champange,sham-PAYN,
chablis,appellation,France,Burgundy,White,chardonnay,chablis premier cru|chablis grand cru,shah-BLEE,
bourgogne,appellation,France,Burgundy,Red,pinot noir|chardonnay,burgundy|bourgogne rouge|bourgogne blanc|borgogne,boor-GOYN,
meursault,appellation,France,Burgundy,White,chardonnay,mersault,mer-SOH,
puligny montrachet,appellation,France,Burgundy,White,chardonnay,puligny|puligny-montrachet,poo-lee-NYEE mon-rah-SHAY,
chassagne montrachet,appellation,France,Burgundy,White,chardonnay,chassagne|chassagne-montrachet,shah-SAHN-yuh mon-rah-SHAY,
gevrey chambertin,appellation,France,Burgundy,Red,pinot noir,gevrey|gevrey-chambertin,zhev-RAY sham-ber-TAN,
chambolle musigny,appellation,France,Burgundy,Red,pinot noir,chambolle|chambolle-musigny,shahm-BOL moo-see-NYEE,
vosne romanee,appellation,France,Burgundy,Red,pinot noir,vosne|vosne-romanee,vone roh-mah-NAY,
nuits saint georges,appellation,France,Burgundy,Red,pinot noir,nuits st georges|nsg,nwee san ZHORZH,
pommard,appellation,France,Burgundy,Red,pinot noir,,poh-MAR,
volnay,appellation,France,Burgundy,Red,pinot noir,,vol-NAY,
beaujolais,appellation,France,Beaujolais,Red,gamay,morgon|fleurie|brouilly|moulin a vent|chiroubles|beaujolais villages,boh-zhoh-LAY,
sancerre,appellation,France,Loire,White,sauvignon blanc,sancere,sahn-SEHR,
pouilly fume,appellation,France,Loire,White,sauvignon blanc,pouilly-fume|pouilly fumé,poo-yee foo-MAY,
vouvray,appellation,France,Loire,White,chenin blanc,,voo-VRAY,
chinon,appellation,France,Loire,Red,cabernet franc,bourgueil|saumur champigny,shee-NOHN,
muscadet,appellation,France,Loire,White,melon de bourgogne,muscadet sevre et maine,moos-kah-DAY,
savennieres,appellation,France,Loire,White,chenin blanc,savennières,sah-ven-YEHR,
bordeaux,appellation,France,Bordeaux,Red,cabernet sauvignon|merlot|cabernet franc,bordeax|claret,bor-DOH,
margaux,appellation,France,Bordeaux,Red,cabernet sauvignon|merlot,,mar-GOH,
pauillac,appellation,France,Bordeaux,Red,cabernet sauvignon,,poy-YAK,
saint julien,appellation,France,Bordeaux,Red,cabernet sauvignon,st julien,san zhoo-LYAN,
saint estephe,appellation,France,Bordeaux,Red,cabernet sauvignon,st estephe|saint-estephe,san tes-TEF,
pomerol,appellation,France,Bordeaux,Red,merlot|cabernet franc,,pom-eh-ROL,
saint emilion,appellation,France,Bordeaux,Red,merlot|cabernet franc,st emilion|saint-emilion,san teh-mee-LYOHN,
sauternes,appellation,France,Bordeaux,Dessert,semillon|sauvignon blanc,barsac,soh-TEHRN,
cote rotie,appellation,France,Rhone,Red,syrah,cote-rotie|côte rôtie,koht roh-TEE,
hermitage,appellation,France,Rhone,Red,syrah,crozes hermitage|crozes-hermitage,er-mee-TAHZH,
cornas,appellation,France,Rhone,Red,syrah,,kor-NAHSS,
saint joseph,appellation,France,Rhone,Red,syrah,st joseph,san zhoh-ZEF,
chateauneuf du pape,appellation,France,Rhone,Red,grenache|syrah|mourvedre,chateauneuf|cdp|chateauneuf-du-pape|châteauneuf,shah-toh-NUHF doo PAHP,
gigondas,appellation,France,Rhone,Red,grenache,vacqueyras|rasteau,zhee-gohn-DAHSS,
tavel,appellation,France,Rhone,Rose,grenache,lirac,tah-VEL,
bandol,appellation,France,Provence,Red,mourvedre,,bahn-DOL,
provence,appellation,France,Provence,Rose,grenache|cinsault|syrah,cotes de provence|cassis,proh-VAHNSS,
languedoc,appellation,France,Languedoc,Red,syrah|grenache,corbieres|faugeres|minervois|pic saint loup|roussillon,lahn-guh-DOK,
alsace,appellation,France,Alsace,White,riesling|pinot gris|gewurztraminer,,al-ZASS,
jura,appellation,France,Jura,White,savagnin|chardonnay,arbois|cotes du jura|vin jaune,zhoo-RAH,
cahors,appellation,France,Cahors,Red,malbec,,kah-OR,
rioja,appellation,Spain,Rioja,Red,tempranillo,rioja alta|rioja alavesa|rioja reserva|rioja gran reserva,ree-OH-hah,
ribera del duero,appellation,Spain,Castilla,Red,tempranillo,ribera,ree-BEH-rah del DWEH-roh,
priorat,appellation,Spain,Catalunya,Red,garnacha|carignan,montsant,pree-oh-RAHT,
bierzo,appellation,Spain,Castilla,Red,mencia,,BYEHR-thoh,
rias baixas,appellation,Spain,Galicia,White,albarino,rías baixas|rias baixa,REE-ahs BYE-shahs,
rueda,appellation,Spain,Castilla,White,verdejo,,RWEH-dah,
toro,appellation,Spain,Castilla,Red,tempranillo,,TOH-roh,
jumilla,appellation,Spain,Murcia,Red,monastrell,,hoo-MEE-yah,
jerez,appellation,Spain,Andalucia,Dessert,palomino,sherry|fino|manzanilla|oloroso|amontillado|palo cortado,heh-RETH,
cava,appellation,Spain,Catalunya,Sparkling,macabeo|xarel lo|parellada,penedes,KAH-vah,
douro,appellation,Portugal,Douro,Red,touriga nacional,,DOH-roo,
porto,appellation,Portugal,Douro,Dessert,touriga nacional,port|tawny port|vintage port|lbv,POR-too,
vinho verde,appellation,Portugal,Minho,White,alvarinho,vino verde,VEE-nyoo VEHR-deh,
madeira,appellation,Portugal,Madeira,Dessert,verdelho|sercial|bual|malmsey,madiera,mah-DEER-ah,
verdelho,grape,Portugal,Madeira,White,,,ver-DEL-yoo,
sercial,grape,Portugal,Madeira,White,,,SEHR-see-al,
bual,grape,Portugal,Madeira,White,,boal,boo-AHL,
malmsey,grape,Portugal,Madeira,White,,malvasia fina,MAHM-zee,
mosel,appellation,Germany,Mosel,White,riesling,mosel saar ruwer|moselle,MOH-zel,
rheingau,appellation,Germany,Rheingau,White,riesling,,RINE-gow,
pfalz,appellation,Germany,Pfalz,White,riesling,palatinate,FAHLTS,
nahe,appellation,Germany,Nahe,White,riesling,,NAH-uh,
wachau,appellation,Austria,Wachau,White,gruner veltliner|riesling,smaragd|federspiel,vah-KOW,
kamptal,appellation,Austria,Kamptal,White,gruner veltliner,kremstal,KAHMP-tahl,
burgenland,appellation,Austria,Burgenland,Red,blaufrankisch,,BOOR-gen-lahnt,
santorini,appellation,Greece,Santorini,White,assyrtiko,,san-toh-REE-nee,
naoussa,appellation,Greece,Macedonia,Red,xinomavro,,nah-OO-sah,
nemea,appellation,Greece,Peloponnese,Red,agiorgitiko,,NEH-mee-ah,
tokaj,appellation,Hungary,Tokaj,Dessert,furmint,tokaji|tokay|aszu,toh-KYE,
napa valley,appellation,USA,California,Red,cabernet sauvignon,napa|oakville|rutherford|stags leap|howell mountain|spring mountain|mount veeder|calistoga|yountville|diamond mountain,NAP-uh,
sonoma coast,appellation,USA,California,Red,pinot noir|chardonnay,sonoma|russian river|russian river valley|rrv|carneros|alexander valley|dry creek|knights valley|chalk hill,soh-NOH-mah,
anderson valley,appellation,USA,California,Red,pinot noir,mendocino,,
santa barbara,appellation,USA,California,Red,pinot noir|chardonnay,sta rita hills|santa rita hills|santa maria|ballard canyon,,
paso robles,appellation,USA,California,Red,cabernet sauvignon|syrah,,PAH-soh ROH-bulls,
santa cruz mountains,appellation,USA,California,Red,pinot noir|cabernet sauvignon,santa cruz,,
lodi,appellation,USA,California,Red,zinfandel,sierra foothills,LOH-dye,
willamette valley,appellation,USA,Oregon,Red,pinot noir,willamette|dundee hills|eola amity|ribbon ridge|yamhill|chehalem,wil-LAM-it,
columbia valley,appellation,USA,Washington,Red,cabernet sauvignon|syrah,walla walla|red mountain|yakima|ancient lakes,,
finger lakes,appellation,USA,New York,White,riesling,,,
colorado,appellation,USA,Colorado,Red,cabernet franc|merlot,grand valley|west elks|palisade,,the home-state lane Kirk will ask about
mendoza,appellation,Argentina,Mendoza,Red,malbec,uco valley|lujan de cuyo|gualtallary|agrelo,men-DOH-sah,
salta,appellation,Argentina,Salta,White,torrontes,cafayate,SAHL-tah,
maipo,appellation,Chile,Maipo,Red,cabernet sauvignon,,MY-poh,
colchagua,appellation,Chile,Rapel,Red,carmenere,,kol-CHAH-gwah,
casablanca,appellation,Chile,Aconcagua,White,sauvignon blanc,limari|leyda,kah-sah-BLAHN-kah,
marlborough,appellation,New Zealand,Marlborough,White,sauvignon blanc,awatere|wairau,MARL-bur-uh,
central otago,appellation,New Zealand,Otago,Red,pinot noir,,oh-TAH-goh,
hawkes bay,appellation,New Zealand,Hawkes Bay,Red,cabernet sauvignon|merlot,hawke s bay|gimblett gravels,,
barossa valley,appellation,Australia,South Australia,Red,syrah,barossa|eden valley,bah-ROSS-ah,
mclaren vale,appellation,Australia,South Australia,Red,syrah|grenache,,muh-KLAIR-en VALE,
clare valley,appellation,Australia,South Australia,White,riesling,,,
coonawarra,appellation,Australia,South Australia,Red,cabernet sauvignon,,koo-nah-WAR-ah,
margaret river,appellation,Australia,Western Australia,Red,cabernet sauvignon,,,
yarra valley,appellation,Australia,Victoria,Red,pinot noir,yarra|mornington|adelaide hills|tasmania,,
stellenbosch,appellation,South Africa,Western Cape,Red,cabernet sauvignon,franschhoek|constantia,STEL-en-bosh,
swartland,appellation,South Africa,Western Cape,Red,syrah,hemel en aarde|walker bay|elgin,SWART-lahnd,
cerasuolo d abruzzo,appellation,Italy,Abruzzo,Rose,montepulciano,cerasuolo|cerasuolo dabruzzo,cheh-rah-SWOH-loh dah-BROOT-soh,rose of montepulciano and NOT the Sicilian red
bugey,appellation,France,Savoie,Sparkling,gamay|poulsard,bugey cerdon|cerdon,boo-ZHAY,
savoie,appellation,France,Savoie,White,jacquere|altesse,vin de savoie,sav-WAH,
kremstal,appellation,Austria,Kremstal,White,gruner veltliner|riesling,krems,KREMS-tahl,
languedoc roussillon,appellation,France,Languedoc,Red,syrah|grenache|carignan,languedoc-roussillon,lahn-guh-DOK roo-see-YOHN,
campo de borja,appellation,Spain,Aragon,Red,garnacha,borja,KAHM-poh deh BOR-hah,
amyndeon,appellation,Greece,Macedonia,Red,xinomavro,amyndon|florina,ah-MEEN-deh-on,
western cape,appellation,South Africa,Western Cape,Red,pinotage|syrah,,,
penedes,appellation,Spain,Catalunya,Sparkling,xarel lo|macabeo|parellada,classic penedes|corpinnat,peh-neh-DES,
txakolina,appellation,Spain,Basque,White,hondarribi zuri,getariako|txakoli|getaria,chah-koh-LEE-nah,
bairrada,appellation,Portugal,Bairrada,Red,baga,,by-RAH-dah,
maule,appellation,Chile,Maule,Red,carignan|semillon,,MOW-leh,
emilia romagna,appellation,Italy,Emilia,Red,lambrusco,emilia|grasparossa|castelvetro|salamino,eh-MEE-lyah roh-MAH-nyah,
xarel lo,grape,Spain,Penedes,White,,xarel-lo|xarello|xarel lo tinto,shah-REL-loh,
macabeo,grape,Spain,Penedes,White,,viura,mah-kah-BEH-oh,
parellada,grape,Spain,Penedes,White,,,pah-reh-YAH-dah,
trepat,grape,Spain,Conca de Barbera,Red,,,treh-PAHT,
hondarribi zuri,grape,Spain,Basque,White,,hondarribi belza|hondarribi,on-dah-REE-bee ZOO-ree,
baga,grape,Portugal,Bairrada,Red,,,BAH-gah,
nero di troia,grape,Italy,Puglia,Red,,uva di troia,NEH-roh dee TROY-ah,
jacquere,grape,France,Savoie,White,,jacquère,zhah-KEHR,
altesse,grape,Portugal,Savoie,White,,roussette,al-TESS,
